"Date","AAPL","MSFT","XOM","JNJ","JPM","AMZN","GE","FB","T"
2017-01-03,0.0028492268058038,0.00708094024781136,0.00697975033897991,0.0054681996135828,0.0108936040009637,0.00506752907215602,0.00284809293644317,0.0157322725145865,0.0115212975553634
2017-01-04,-0.00111927711634963,-0.00447437162948028,-0.0110022840351952,-0.00164022016332088,0.00184445082283258,0.00465722408902147,0.000315610854184856,0.015659772243199,-0.00581118811316039
2017-01-05,0.00508529881522057,0,-0.0149070859852967,0.0104626643831169,-0.00920498131362091,0.0307324800115263,-0.0056782494529598,0.0166820790853133,-0.00280559598746111
2017-01-06,0.0111484089785916,0.00866776630693833,-0.000564712935656742,-0.00479197701523482,0.000116141642362066,0.0199115609725944,0.00285528844735783,0.022706605166265,-0.0199242584807071
2017-01-09,0.00915948080060547,-0.00318263519559348,-0.0164972072246271,-0.000172115757497648,0.000696578964996419,0.00116834760698437,-0.00474538587992734,0.0120735592877868,-0.0125846562263345
2017-01-10,0.00100843432295283,-0.000319322303426572,-0.0127527590513821,-0.00103193993101036,0.00290096941096607,-0.00127987630095605,-0.0028606680146499,-0.00440355477336185,0.000245046021916551
2017-01-11,0.00537323222438002,0.00910251005598517,0.0102408954620863,-0.0123106118014539,0.00752053514925421,0.00392008531966082,0.00318777169396012,0.0139927465057137,-0.00490069910692492
2017-01-12,-0.00417543661396236,-0.00917864073257479,-0.00541411339687714,-0.000958816838183441,-0.00964639203323392,0.0182974076168954,-0.00254214017295207,0.00420340246501394,0.00984959077942005
2017-01-13,-0.00176097025574418,0.0014374748712993,0.000115835958549582,-0.000174368250881796,0.00533403604902083,0.00430165667306803,-0.00095574877208493,0.0135838963769415,-0.0012190845317599
2017-01-17,0.00806452345536512,-0.00271136378279346,0.0116965586872348,0.00235596768636803,-0.0363321674844685,-0.00908050500990332,-0.00286982312534301,-0.00366209299242937,0.00366212837598323
2017-01-18,-8.33522719433377e-05,-0.000479661827652356,-0.012362691249352,-0.00148001898415362,0.0046679677253032,-0.00276637736529295,-0.00127926638505915,0.000390983020466473,-0.00754070487056469
2017-01-19,-0.00175017801198196,-0.00320012918513546,-0.0179645324134591,-0.00435913665022436,-0.007624564973577,0.00193193396571889,-0.00064045250188649,-0.00289239372877415,0.00490192578178283
2017-01-20,0.00183675187485055,0.00706262256637324,0.0136904106232061,-0.00043789452471632,0.00444167394744532,-0.000877535127194906,-0.0217877371092706,-0.00399844757353707,0.010975692093697
2017-01-23,0.000666673643862969,0.00350650494509419,-0.010711337970698,-0.00210239119658351,0.000478114400100926,0.0118144666153106,-0.0255487001933797,0.0148771409408286,0.0132689224580835
2017-01-24,-0.000916043241033782,0.00889460285844246,0.00141212245505118,-0.0188745095579322,0.0120655444889755,0.00557538633066357,0.00840328980333194,0.00341272026595085,-0.0152380920423201
2017-01-25,0.015920650498054,0.00251883185384894,0.0029380834493542,0.00930555614325956,0.015462611022246,0.017119811737951,0.012333425158104,0.0163098174348697,0.000725388002861482
2017-01-26,0.000492324026806212,0.00926509980680157,0.00304675573169844,-0.00851069590860543,0.00836923808615775,0.00314398213685307,-0.00164643672264297,0.0098874584693478,0.00918099490906665
2017-01-27,8.18923114431769e-05,0.0234947080296461,-0.00105132775518879,0.0137696493716464,0.00207492614276106,-0.004027890011715,-0.0102242333071147,-0.00451879804578104,0.00574561350168179
2017-01-30,-0.00262405384813491,-0.00988155281031111,-0.00760146287570096,-0.00220497083507643,-0.0103532192681284,-0.0064491604999185,-0.00166611797394756,-0.00907850706271407,-0.00452274956575816
2017-01-31,-0.00230201662239127,-0.00736979587294839,-0.0114307023340959,0.00106081029821126,-0.0162733943660053,-0.00830947874280763,-0.00867818899667328,-0.0050388534139213,0.00813019253026859
2017-02-01,0.0609806317742938,-0.0165506477280545,-0.0113243487317228,-0.00017655053979837,0.00378111637570355,0.0107713559715199,-0.000336687634485133,0.0223295644850603,-0.00237193695803128
2017-02-02,-0.00170872213595774,-0.00644863163950626,0.00614896111170271,0.00300270075915732,-0.00423778371718386,0.00913081782800473,-0.000336871241990888,-0.0179389031881378,-0.02092255246298
2017-02-03,0.00427917669434152,0.00807345849037588,0.00107841420683785,0.000616313067181684,0.03061835714258,-0.0354187744210663,0.000673899290509539,0.00107000920421907,0.00169990229609907
